Aff,Neg,Judge,Win
Loyola TH,Mountain View AW,Taylor Tsan,Neg
American Heritage Broward CM,Horace Greeley CC,Anna Myers,Aff
Greenhill AK,Phillips Exeter ES,Samantha McLoughlin,Neg
West HS SLC LM,Flintridge Prep IL,Ari Davidson,Neg
Greenhill EX,Horace Greeley AM,Colton Gilbert,Aff
Interlake JP,Memorial EJ,Taylor Tsan,Neg
Greenhill SK,Flintridge Prep CX,Chetan Hertzig,Aff
Harrison FW,Strake Jesuit  KS,Tom Evnen,Aff
Harker TP,Clear Lake RZ,Truman Le,Neg
Marlborough OO,Northland Christian LM,David Asafu-Adjaye,Neg
Lynbrook OM,Plano West SG,Patrick Fox,Neg
Sehome RS,Cary Acad LM,Vik Maan,Neg
Syosset AP,Harvard-Westlake KM,Chetan Hertzig,Neg
Coppell KT,American Heritage Broward JX,Ayman Badawy,Aff
Holy Trinity Episcopal CH,Greenhill MA,Nigel Taylor-Ward,Neg
Cabot KB,Marlborough LF,Judah Jones,Aff
St Thomas CO,Harker SSe,Jordan Keller,Neg
Plano West AR,Harvard-Westlake AS,Ilan Boguslavsky,Neg
Harker SD,Little Rock Central GT,Holden Bukowsky,Aff
Marlborough LS,Wheatley AM,William Liu,Aff
Cherry Hill HS East CR,Horace Greeley SG,Nine Abad,Neg
Colleyville Heritage GM,Lynbrook BZ,Truman Le,Neg
Waring MB,West Des Moines Valley LS,Amanda Ciocca,Aff
Edgemont AP,Sonoma AM,Vontrez White,Neg
Harker LC,Northern Valley AC,Jordan Keller,Aff
Strake Jesuit  LC,Greenhill DM,Chan Park,Neg
Harker NB,Evergreen Valley SK,Gordon Krauss,Aff
Acton-Boxborough NK,Isidore Newman DC,Garrett Bishop,Aff
American Heritage Broward CA,BASIS Scottsdale SS,Michael Harris,Neg
Lexington OO,Harrison AN,Eric Schwerdtfeger,Aff
Lynbrook VV,BASIS Silicon Valley JK,Patrick Fox,Aff
Ridge HK,Harvard-Westlake LS,Michael Harris,Aff
Harvard-Westlake MR,Harker SS,Shreeram Modi,Aff
Greenhill VT,Lake Highland Prep NA,Nine Abad,Aff
Harker ID,Iowa City West FH,Aidan Etkin,Neg
American Heritage Broward ZC,Harker AA,Shreeram Modi,Neg
Monta Vista EY,Peninsula SU,Sean Wallace,Neg
Langham Creek EY,Loyola UT,Eliza Buckner,Aff
Vestavia Hills VZ,Harrison AG,Amanda Ciocca,Neg
Laurel CW,Awty International DR,Nikita Tanguturi,Neg
Mountain Lakes EW,McNeil NV,Rishi Mukherjee,Neg
McNeil AS,Cary Acad RP,Ayman Badawy,Aff
Memorial AW,Barrington AC,Emilio Menotti,Aff
Immaculate Heart ES,Marlborough AM,Ana Bittner,Neg
Head-Royce AJ,Millard North CB,Sean Wallace,Aff